"fuente","articulo","tema","subtema","texto del articulo","categorias","resumen explicativo"
"LEY 100 DE 1993",39,"Pensiones","Invalidez","Requisitos para obtener la Pensión de Invalidez. Tendrá derecho a la pensión de invalidez el afiliado al sistema que conforme a lo dispuesto en el artículo anterior sea declarado inválido y acredite las siguientes condiciones:

Invalidez causada por enfermedad: Que haya cotizado cincuenta (50) semanas dentro de los últimos tres (3) años inmediatamente anteriores a la fecha de estructuración y su fidelidad de cotización para con el sistema sea al menos del veinte por ciento (20%) del tiempo transcurrido entre el momento en que cumplió veinte (20) años de edad y la fecha de la primera calificación del estado de invalidez.
 
(Nota: Numeral 1 declarado EXEQUIBLE, salvo el aparte tachado declarado INEXEQUIBLE por la Corte Constitucional mediante Sentencia C-428-09)

Invalidez causada por accidente: Que haya cotizado cincuenta (50) semanas dentro de los últimos tres (3) años inmediatamente anteriores al hecho causante de la misma, y su fidelidad (de cotización para con el sistema sea al menos del veinte por ciento (20%) del tiempo transcurrido entre el momento en que cumplió veinte (20) años de edad y la fecha de la primera calificación del estado de invalidez.

(Nota: Numeral 2 declarado EXEQUIBLE, salvo el aparte tachado declarado INEXEQUIBLE por la Corte Constitucional mediante Sentencia C-428-09)
 
PARÁGRAFO 1. Los menores de veinte (20) años de edad sólo deberán acreditar que han cotizado veintiséis (26) semanas en el último año inmediatamente anterior al hecho causante de su invalidez o su declaratoria.

(Nota: Parágrafo declarado CONDICIONALMENTE EXEQUIBLE por la Corte Constitucional mediante Sentencia C-020-15)

 

PARÁGRAFO 2. Cuando el afiliado haya cotizado por lo menos el 75% de las semanas mínimas requeridas para acceder a la pensión de vejez, solo se requerirá que haya cotizado 25 semanas en los últimos tres (3) años.

 

(Artículo modificado por el artículo 1 de la Ley 860 de 2003)","requisitos, cotización, enfermedad, accidente, menores de 20 años, fidelidad al sistema","El afiliado declarado inválido tendrá derecho a la pensión de invalidez si cumple los siguientes requisitos:

Por enfermedad: Haber cotizado 50 semanas en los últimos 3 años antes de la fecha de estructuración y acreditar una fidelidad de cotización mínima del 20 % desde los 20 años hasta la primera calificación de invalidez (con apartes declarados inexequibles en la Sentencia C-428 de 2009).

Por accidente: Haber cotizado 50 semanas en los últimos 3 años anteriores al hecho causante, con la misma exigencia de fidelidad (también parcialmente inexequible según Sentencia C-428 de 2009).

Menores de 20 años: Solo deben acreditar 26 semanas en el último año (Sentencia C-020 de 2015 condicionó su exequibilidad).

Cotizantes cercanos a la pensión de vejez: Si han completado al menos el 75 % de las semanas mínimas requeridas para vejez, solo se exigen 25 semanas en los últimos 3 años.

(Modificado por el artículo 1 de la Ley 860 de 2003)."
"LEY 100 DE 1993",40,"Pensiones","Invalidez","Monto de la Pensión de Invalidez. El monto mensual de la pensión de invalidez será equivalente a:

a) El 45 % del ingreso base de liquidación, más el 1.5 % de dicho ingreso por cada 50 semanas de cotización que el afiliado tuviese acreditadas con posterioridad a las primeras 500 semanas de cotización, cuando la disminución en su capacidad laboral sea igual o superior al 50 % e inferior al 66 %;

b) El 54 % del ingreso base de liquidación, más el 2 % de dicho ingreso por cada 50 semanas de cotización que el afiliado tuviese acreditadas con posterioridad a las primeras 800 semanas de cotización, cuando la disminución en su capacidad laboral es igual o superior al 66 %.

La pensión por invalidez no podrá ser superior al 75 % del ingreso base de liquidación.

En ningún caso la pensión de invalidez podrá ser inferior al salario mínimo legal mensual.

La pensión de invalidez se reconocerá a solicitud de parte interesada y comenzará a pagarse, en forma retroactiva, desde la fecha en que se produzca tal estado.","monto, cálculo, ingreso base, porcentaje, retroactividad","El monto mensual de la pensión de invalidez depende del grado de pérdida de capacidad laboral:

Entre 50 % y 66 % de invalidez: 45 % del ingreso base de liquidación (IBL), más 1.5 % del IBL por cada 50 semanas adicionales después de las primeras 500 semanas.

Igual o superior al 66 % de invalidez: 54 % del IBL, más 2 % por cada 50 semanas adicionales después de las primeras 800 semanas.

Condiciones adicionales:

La pensión no podrá superar el 75 % del IBL.

No podrá ser inferior al salario mínimo legal mensual.

Se reconocerá solo a solicitud del interesado.

Se pagará retroactivamente desde la fecha de estructuración de la invalidez."
"LEY 100 DE 1993",41,"Pensiones","Invalidez","Calificación del Estado de Invalidez. Calificación del Estado de Invalidez. El estado de invalidez será determinado de conformidad con lo dispuesto en los artículos siguientes y con base en el manual único para la calificación de invalidez vigente a la fecha de calificación. Este manual será expedido por el Gobierno Nacional y deberá contemplar los criterios técnicos de evaluación para calificar la imposibilidad que tenga el afectado para desempeñar su trabajo por pérdida de su capacidad laboral.

Corresponde al Instituto de Seguros Sociales, Administradora Colombiana de Pensiones -COLPENSIONES-, a las Administradoras de Riesgos Profesionales ARP-, a las Compañías de Seguros que asuman el riesgo de invalidez y muerte, y a las Entidades Promotoras de Salud EPS, determinar en una primera oportunidad la pérdida de capacidad laboral y calificar el grado de invalidez y el origen de estas contingencias. En caso de que el interesado no esté de acuerdo con la calificación deberá manifestar su inconformidad dentro de los diez (10) días siguientes y la entidad deberá remitirlo a las Juntas Regionales de Calificación de Invalidez del orden regional dentro de los cinco (5) días siguientes, cuya decisión será apelable ante la Junta Nacional de Calificación de Invalidez, la cual decidirá en un término de cinco (5) días. Contra dichas decisiones proceden las acciones legales.

El acto que declara la invalidez que expida cualquiera de las anteriores entidades, deberá contener expresamente los fundamentos de hecho y de derecho que dieron origen a esta decisión, así como la forma y oportunidad en que el interesado puede solicitar la calificación por parte de la Junta Regional y la facultad de recurrir esta calificación ante la Junta Nacional.

Cuando la incapacidad declarada por una de las entidades antes mencionadas (ISS, Administradora Colombiana de Pensiones - Colpensiones-, ARP, aseguradora o entidad promotora de salud) sea inferior en no menos del diez por ciento (10%) a los límites que califican el estado de invalidez, tendrá que acudirse en forma obligatoria a la Junta Regional de Calificación de Invalidez por cuenta de la respectiva entidad.

Para los casos de accidente o enfermedad común en los cuales exista concepto favorable de rehabilitación de la Entidad Promotora de Salud, la Administradora de Fondos de Pensiones postergará el trámite de calificación de Invalidez hasta por un término máximo de trescientos sesenta (360) días calendario adicionales a los primeros ciento ochenta (180) días de incapacidad temporal reconocida por la Entidad Promotora de Salud, evento en el cual, con cargo al seguro previsional de invalidez y sobrevivencia o de la entidad de previsión social correspondiente que lo hubiere expedido, la Administradora de Fondos de Pensiones otorgará un subsidio equivalente a la incapacidad que venía disfrutando el trabajador.

Las Entidades Promotoras de Salud deberán emitir dicho concepto antes de cumplirse el día ciento veinte (120) de incapacidad temporal y enviarlo antes de cumplirse el día ciento cincuenta (150), a cada una de las Administradoras de Fondos de Pensiones donde se encuentre afiliado el trabajador a quien se le expida el concepto respectivo, según corresponda. Cuando la Entidad Promotora de Salud no expida el concepto favorable de rehabilitación, si a ello hubiere lugar, deberá pagar un subsidio equivalente a la respectiva incapacidad temporal después de los ciento ochenta (180) días iníciales con cargo a sus propios recursos, hasta cuando se emita el correspondiente concepto.

PARÁGRAFO 1. Para la selección de los miembros de las Juntas Regionales y Nacional de Calificación de Invalidez, el Ministerio del Trabajo tendrá en cuenta los siguientes criterios:

La selección se hará mediante concurso público y objetivo, cuya convocatoria se deberá hacer con no menos de dos (2) meses de antelación a la fecha del concurso e incluirá los criterios de ponderación con base en los cuales se seleccionará a los miembros de estos organismos. La convocatoria deberá publicarse en un medio de amplia difusión nacional.

Dentro de los criterios de ponderación se incluirán aspectos como experiencia profesional mínima de cinco (5) años y un examen escrito de antecedentes académicos sobre el uso del manual de pérdida de capacidad laboral y de invalidez, el cual se realizará a través de una entidad académica de reconocido prestigio. Los resultados del concurso serán públicos y los miembros de las Juntas serán designados por el Ministro del Trabajo, comenzando por quienes obtuvieran mayor puntaje.

La conformación de las Juntas Regionales de Calificación de Invalidez podrá ser regionalizada y el manejo de sus recursos será reglamentado por el Gobierno Nacional de manera equitativa. El proceso de selección de los integrantes de las juntas de calificación de invalidez se financiará con recursos del Fondo de Riesgos Profesionales.

PARÁGRAFO 2. Las entidades de seguridad social, los miembros de las Juntas Regionales y Nacional de Invalidez y los profesionales que califiquen serán responsables solidariamente por los dictámenes que produzcan perjuicios a los afiliados o a los Administradores del Sistema de Seguridad Social Integral, cuando este hecho esté plenamente probado"".

(Modificado por Art. 142, Decreto 019 de 2012.)

(Modificado por Art. 52, Ley 962 de 2005.)","calificación, entidades responsables, juntas regionales y nacional, procedimiento, subsidio temporal, responsabilidad","La calificación del estado de invalidez se realiza según el manual único expedido por el Gobierno Nacional, que define criterios técnicos de pérdida de capacidad laboral.

Procedimiento:

Determinación inicial por ISS, Colpensiones, ARP, aseguradoras o EPS.

El interesado puede manifestar inconformidad en 10 días; la entidad remite el caso a la Junta Regional en 5 días.

La Junta Regional decide y la decisión es apelable ante la Junta Nacional en 5 días.

El acto de declaración de invalidez debe incluir fundamentos de hecho y derecho y los procedimientos de recurso.

Casos especiales:

Si la incapacidad es menor en 10 % al mínimo para declarar invalidez, se acude obligatoriamente a la Junta Regional.

Para accidentes o enfermedades con rehabilitación favorable de la EPS, se posterga la calificación hasta 360 días adicionales, con subsidio temporal a cargo del seguro previsional o la entidad correspondiente.

La EPS debe emitir concepto de rehabilitación antes del día 120 y enviarlo antes del día 150; de lo contrario, paga subsidio por incapacidad temporal después de 180 días.

Selección de miembros de las juntas:

Concurso público, objetivo, publicado con al menos 2 meses de anticipación.

Criterios: experiencia mínima de 5 años, examen escrito sobre manual de pérdida de capacidad laboral.

Los miembros se designan por el Ministro de Trabajo según puntaje.

Recursos para el proceso se financian con el Fondo de Riesgos Profesionales.

Responsabilidad:
Entidades de seguridad social, miembros de las juntas y profesionales calificadores responden solidariamente por dictámenes que causen perjuicios a afiliados o administradores del sistema."
"LEY 100 DE 1993",42,"Seguridad Social – Pensión de Invalidez","Juntas de Calificación de Invalidez","Naturaleza, administración y funcionamiento de las Juntas Regionales y Nacional de Calificación de Invalidez. Las Juntas Regionales y Nacional de Calificación de invalidez son organismos del Sistema de la Seguridad Social del orden nacional, de creación legal, adscritas al Ministerio de Trabajo con personería jurídica, de derecho privado, sin ánimo de lucro, de carácter interdisciplinario, sujetas a revisoría fiscal, con autonomía técnica y científica en los dictámenes periciales, cuyas decisiones son de carácter obligatorio, sin perjuicio de la segunda instancia que corresponde a la Junta Nacional de Calificación de Invalidez, respecto de las regionales y conforme a la reglamentación que determine el Ministerio de Trabajo.

Será conforme a la reglamentación que determine el Ministerio de Trabajo, la integración, administración operativa y financiera, los términos en tiempo y procedimiento para la expedición de dictámenes, funcionamiento y la inspección, vigilancia y control de estos aspectos, así como la regionalización del país para los efectos de funcionamiento de las Juntas, escala de honorarios a sus integrantes, procedimientos operativos y recursos de reposición y apelación.

PARÁGRAFO 1. Los integrantes de las Juntas Nacional y Regionales de Calificación de Invalidez se regirán por la presente ley y su reglamentación, actuarán dentro del respectivo período y, en caso necesario, permanecerán en sus cargos hasta tanto se realice la posesión de los nuevos integrantes para el período correspondiente, serán designados de acuerdo a la reglamentación que para el efecto expida el Ministerio del Trabajo.

NOTA: La Corte Constitucional en Sentencia C-914 de 2014 declara INEXEQUIBLE la expresión ""serán designados de acuerdo a la reglamentación que para el efecto expida el Ministerio del Trabajo""

PARÁGRAFO 2. Las entidades de seguridad social y los integrantes de las Juntas Regionales y Nacionales de Invalidez y los profesionales que califiquen, serán responsables solidariamente por los dictámenes que produzcan perjuicios a los afiliados o a los Administradores del Sistema de Seguridad Social Integral, cuando este hecho esté plenamente probado.

Es obligación de los diferentes actores de los Sistemas de Seguridad Social en Salud y Riesgos Laborales la entrega oportuna de la información requerida y de la cual se disponga para fundamentar la calificación del origen, entre las entidades competentes para calificar al trabajador.

PARÁGRAFO 3. El Ministerio de Trabajo deberá organizar dentro de los seis (6) meses siguientes a la entrada en vigencia de la presente ley, la estructura y funcionamiento de las Juntas de Calificación de Invalidez como parte de la estructura del Ministerio de Trabajo.

(Modificado por el Artículo 16 de la Ley 1562 de 2012.)","Naturaleza, Administración, Funcionamiento","Las Juntas Regionales y Nacionales de Calificación de Invalidez son organismos del Sistema de Seguridad Social, adscritos al Ministerio de Trabajo, con personería jurídica de derecho privado, sin ánimo de lucro y autonomía técnica en sus dictámenes. Sus decisiones son obligatorias, sujetas a segunda instancia en la Junta Nacional. La reglamentación del Ministerio de Trabajo define integración, administración, funcionamiento, términos de expedición de dictámenes, inspección, vigilancia y control, regionalización, honorarios, procedimientos operativos y recursos de apelación. Los integrantes actúan dentro del período correspondiente y permanecen hasta la posesión de nuevos integrantes. Las entidades de seguridad social y profesionales que califiquen son responsables solidariamente por dictámenes que generen perjuicios, si se prueba el hecho. Es obligación de los actores del Sistema entregar la información necesaria para fundamentar la calificación. El Ministerio debe organizar la estructura y funcionamiento de las Juntas dentro de los seis meses siguientes a la vigencia de la ley."
"LEY 100 DE 1993",43,"Juntas de Calificación de Invalidez","Impedimentos, recusaciones y sanciones","Impedimentos, recusaciones y sanciones. Los integrantes principales y suplentes de las Juntas Regionales y Nacional, en número impar serán designados, de acuerdo a la reglamentación que expida el Ministerio de Trabajo. Los integrantes serán particulares que ejercen una función pública en la prestación de dicho servicio y mientras sean parte de las Juntas de Calificación de Invalidez, no podrán tener vinculación alguna, ni realizar actividades relacionadas con la calificación del origen y grado de pérdida de la capacidad laboral o labores administrativas o comerciales en las Entidades Administradoras del Sistema Seguridad Social Integral, ni con sus entidades de dirección, vigilancia y control.

NOTA: La Corte Constitucional en Sentencia C-914 de 2014 declara INEXEQUIBLE la expresión ""los integrantes principales y suplentes de las juntas regionales de invalidez, en número impar serán designados, de acuerdo a la reglamentación que expida el Ministerio del Trabajo""

Los integrantes de las Juntas estarán sujetos al régimen de impedimentos y recusaciones aplicables a los Jueces de la República, conforme a lo dispuesto en el Código de Procedimiento Civil y su trámite será efectuado de acuerdo con el artículo 30 del Código Contencioso Administrativo y, como a particulares que ejercen funciones públicas, les es aplicable el Código Disciplinario Único.

PARÁGRAFO 1. Los integrantes de la Junta Nacional y los de las Juntas Regionales de Calificación de invalidez no tienen el carácter de servidores públicos, no devengan salarios, ni prestaciones sociales y sólo tienen derecho a los honorarios establecidos por el Ministerio de Trabajo.

PARÁGRAFO 2. Los integrantes de la Junta Nacional y los de las Juntas Regionales de Calificación de Invalidez no podrán permanecer más de dos (2) periodos continuos

(Modificado por el Artículo 19 de la Ley 1562 de 2012.)","Integrantes, designación, restricciones, régimen disciplinario","Los integrantes principales y suplentes de las Juntas Regionales y Nacionales de Calificación de Invalidez no pueden tener vínculos ni realizar actividades relacionadas con la calificación de la capacidad laboral o labores administrativas/comerciales en entidades del sistema de seguridad social.

La Corte Constitucional declaró inexequible la designación según reglamentación del Ministerio de Trabajo.

Los integrantes están sujetos a impedimentos y recusaciones como los jueces de la República, siguiendo el Código de Procedimiento Civil y Contencioso Administrativo, y el Código Disciplinario Único.

No son servidores públicos, no perciben salario ni prestaciones, y solo reciben honorarios establecidos por el Ministerio de Trabajo.

No pueden permanecer más de dos periodos continuos en el cargo."
"LEY 100 DE 1993",44,"Pensión de Invalidez","Revisión del Estado de Invalidez","Revisión de las Pensiones de Invalidez. El estado de invalidez podrá revisarse:

a) Por solicitud de la entidad de previsión o seguridad social correspondiente cada tres (3) años, con el fin de ratificar, modificar o dejar sin efectos el dictamen que sirvió de base para la liquidación de la pensión que disfruta su beneficiario y proceder a la extinción, disminución o aumento de la misma, si a ello hubiere lugar.

Este nuevo dictamen se sujeta a las reglas de los artículos anteriores.

El pensionado tendrá un plazo de tres (3) meses contados a partir de la fecha de dicha solicitud, para someterse a la respectiva revisión del estado de invalidez. Salvo casos de fuerza mayor, si el pensionado no se presenta o impide dicha revisión dentro de dicho plazo, se suspenderá el pago de la pensión. Transcurridos doce (12) meses contados desde la misma fecha sin que el pensionado se presente o permita el examen, la respectiva pensión prescribirá.

Para readquirir el derecho en forma posterior, el afiliado que alegue permanecer inválido deberá someterse a un nuevo dictamen. Los gastos de este nuevo dictamen serán pagados por el afiliado;

b) Por solicitud del pensionado en cualquier tiempo y a su costa.","Revisión periódica, revisión por el afiliado, suspensión, prescripción","La pensión de invalidez puede revisarse cada 3 años por solicitud de la entidad de previsión o seguridad social para ratificar, modificar o dejar sin efecto el dictamen que determinó la pensión.

El pensionado tiene 3 meses para someterse a la revisión; si no lo hace, se suspende el pago. Si pasan 12 meses sin presentarse, la pensión prescribe.

Para readquirir la pensión, el afiliado debe someterse a un nuevo dictamen, corriendo con los gastos.

El pensionado también puede solicitar la revisión en cualquier momento, a su propio costo."
"LEY 100 DE 1993",45,"Pensión de Invalidez","Indemnización Sustitutiva","Indemnización Sustitutiva de la Pensión de Invalidez. El afiliado que al momento de invalidarse no hubiere reunido los requisitos exigidos para la pensión de invalidez, tendrá derecho a recibir, en sustitución, una indemnización equivalente a la que le hubiere correspondido en el caso de la indemnización sustitutiva de la pensión de vejez, prevista en el artículo 37 de la presente Ley.","Pensión no alcanzada, indemnización, requisitos no cumplido","Si un afiliado queda inválido pero no cumple los requisitos para la pensión de invalidez, tiene derecho a recibir una indemnización sustitutiva.

Esta indemnización se calcula de manera análoga a la prevista para la indemnización sustitutiva de la pensión de vejez (Art. 37)."
"LEY 100 DE 1993",46,"Pensión de Sobrevivientes","Requisitos y Beneficiarios","Requisitos para obtener la Pensión de Sobrevivientes. Tendrán derecho a la pensión de sobrevivientes: 1. Los miembros del grupo familiar del pensionado por vejez, o invalidez por riesgo común, que fallezca, y 2. Los miembros del grupo familiar del afiliado que fallezca, siempre que éste hubiere cumplido alguno de los siguientes requisitos: a) Que el afiliado se encuentre cotizando al sistema y hubiere cotizado por lo menos veintiséis (26) semanas al momento de la muerte; b) Que habiendo dejado de cotizar al sistema, hubiere efectuado aportes durante por lo menos 26 semanas del año inmediatamente anterior al momento en que se produzca la muerte. PARÁGRAFO . Para efectos del cómputo de las semanas a que se refiere el presente artículo se tendrá en cuenta lo dispuesto en los parágrafos del artículo 33 de la presente Ley.","Afiliación, semanas cotizadas, condiciones de elegibilidad ","Tienen derecho los miembros del grupo familiar de:

Pensionado por vejez o invalidez por riesgo común fallecido.

Afiliado fallecido, siempre que:
a) Estuviera cotizando al sistema y tuviera al menos 26 semanas cotizadas al momento de la muerte.
b) Habiendo dejado de cotizar, hubiese efectuado aportes por al menos 26 semanas del año inmediatamente anterior a su fallecimiento.

Para el cómputo de semanas se aplican los parágrafos del Art. 33 de la Ley.
Fuente / Artículo: Ley 1562 de 2012, Artículo 46"
"LEY 100 DE 1993",47,"Pensión de Sobrevivientes","Beneficiarios ","Beneficiarios de la Pensión de Sobrevivientes. Son beneficiarios de la pensión de sobrevivientes: a) En forma vitalicia, el cónyuge o la compañera o compañero permanente supérstite. En caso de que la pensión de sobrevivencia se cause por muerte del pensionado, el cónyuge o la compañera o compañero permanente supérstite, deberá acreditar que estuvo haciendo vida marital con el causante por lo menos desde el momento en que éste cumplió con los requisitos para tener derecho a una pensión de vejez o invalidez, y hasta su muerte, y haya convivido con el fallecido no menos de dos (2) años continuos con anterioridad a su muerte, salvo que haya procreado uno o más hijos con el pensionado fallecido; (Ver Sentencia 2015-00165 del Consejo de Estado) (Ver Sentencia 2017-02535 del Consejo de Estado) (Ver Sentencia 2014-00028 de 2020 Consejo de Estado) b) Los hijos menores de 18 años; los hijos mayores de 18 años y hasta los 25 años, incapacitados para trabajar por razón de sus estudios y si dependían económicamente del causante al momento de su muerte; y, los hijos inválidos si dependían económicamente del causante, mientras subsistan las condiciones de invalidez; (Ver Sentencia 2014-00028 de 2020 Consejo de Estado) c) A falta de cónyuge, compañero o compañera permanente e hijos con derecho, serán beneficiarios los padres del causante si dependían económicamente de éste; (Ver Sentencia 2014-00074 de 2021 Consejo de Estado) d) A falta de cónyuge, compañero o compañera permanente, padres e hijos con derecho, serán beneficiarios los hermanos inválidos del causante si dependían económicamente de éste. (Ver Sentencia de la Corte Constitucional SU-453 de 2019)","Cónyuge o compañero(a) permanente, hijos, padres, hermanos, dependencia económica","Beneficiarios:
a) Cónyuge o compañero(a) permanente supérstite vitalicio, con convivencia mínima de 2 años o hijos procreados con el causante.
b) Hijos menores de 18 años; hijos de 18 a 25 años incapacitados por estudios y económicamente dependientes; hijos inválidos dependientes económicamente del causante.
c) Padres del causante, si no hay cónyuge o hijos con derecho y dependían económicamente del causante.
d) Hermanos inválidos dependientes económicamente, si no hay cónyuge, padres o hijos con derecho.
Fuente / Artículo: Ley 1562 de 2012, Artículo 47"
"LEY 100 DE 1993",48,"Pensión de Sobrevivientes","Monto de la pensión ","Monto de la Pensión de Sobrevivientes. El monto mensual de la pensión de sobrevivientes por muerte del pensionado será igual al 100 % de la pensión que aquél disfrutaba. El monto mensual de la pensión total de sobrevivientes por muerte del afiliado será igual al 45 % del ingreso base de liquidación más 2 % de dicho ingreso por cada cincuenta (50) semanas adicionales de cotización a las primeras quinientas (500) semanas de cotización, sin que exceda el 75 % del ingreso base de liquidación. En ningún caso el monto de la pensión podrá ser inferior al salario mínimo legal mensual vigente, conforme a lo establecido en el artículo 35 de la presente Ley. No obstante lo previsto en este artículo, los afiliados podrán optar por una pensión de sobrevivientes equivalente al régimen de pensión de sobrevivientes del ISS, vigente con anterioridad a la fecha de vigencia de la presente Ley equivalente al 65 % del ingreso base de liquidación, siempre que se cumplan las mismas condiciones establecidas por dicho instituto.","Porcentaje de la pensión, cálculo según semanas cotizadas, piso de pensión mínima, opción régimen ISS","Por muerte del pensionado: pensión igual al 100 % de la pensión que disfrutaba.

Por muerte del afiliado: pensión igual al 45 % del ingreso base de liquidación + 2 % por cada 50 semanas adicionales a las primeras 500, sin exceder 75 %.

La pensión nunca puede ser inferior al salario mínimo legal mensual.

Los afiliados pueden optar por el régimen ISS previo, equivalente al 65 % del ingreso base de liquidación, cumpliendo las mismas condiciones del ISS.
Fuente / Artículo: Ley 1562 de 2012, Artículo 48"
"LEY 100 DE 1993",49,"Pensión de Sobrevivientes","Indemnización sustitutiva","Indemnización Sustitutiva de la Pensión de Sobrevivientes. Los miembros del grupo familiar del afiliado que al momento de su muerte no hubiese reunido los requisitos exigidos para la pensión de sobrevivientes, tendrán derecho a recibir, en sustitución, una indemnización equivalente a la que le hubiera correspondido en el caso de la indemnización sustitutiva de la pensión de vejez, prevista en el artículo 37 de la presente Ley.","Afiliados sin requisitos completos, equivalencia con indemnización de pensión de vejez","Si al momento de la muerte el afiliado no cumple los requisitos para pensión de sobrevivientes, los miembros de su grupo familiar tienen derecho a recibir una indemnización equivalente a la de la pensión de vejez prevista en el Art. 37."
"LEY 100 DE 1993",50,"Prestaciones Adicionales","Mesada adicional anual","Mesada adicional. Los pensionados por vejez o jubilación, invalidez y sustitución o sobrevivencia continuarán recibiendo cada año, junto con la mesada del mes de noviembre, en la primera quincena del mes de diciembre, el valor correspondiente a una mensualidad adicional a su pensión.","Pensión por vejez, invalidez, sustitución o sobrevivencia; pago adicional anual","Los pensionados reciben cada año, junto con la mesada de noviembre, una mensualidad adicional en la primera quincena de diciembre."
"LEY 100 DE 1993",51,"Prestaciones Adicionales","Auxilio funerario","Auxilio Funerario. La persona que compruebe haber sufragado los gastos de entierro de un afiliado o pensionado, tendrá derecho a percibir un auxilio funerario equivalente al último salario base de cotización, o al valor correspondiente a la última mesada pensional recibida, según sea el caso, sin que este auxilio pueda ser inferior a cinco (5) salarios mínimos legales mensuales vigentes, ni superior a diez (10) veces dicho salario.

Cuando los gastos funerarios por disposición legal o reglamentaria deban estar cubiertos por una póliza de seguros, el Instituto Seguros Sociales, cajas, fondos o entidades del sector público podrán repetir contra la entidad aseguradora que lo haya amparado, por las sumas que se paguen por este concepto.","Beneficiario, monto, rango mínimo y máximo, repetición contra aseguradora","La persona que pague los gastos de entierro de un afiliado o pensionado recibirá un auxilio funerario.

El auxilio equivale al último salario base de cotización o última mesada pensional, sin ser menor a 5 salarios mínimos legales ni mayor a 10.

Si los gastos están cubiertos por póliza, las entidades de seguridad social podrán repetir contra la aseguradora."
"LEY 100 DE 1993",52,"Administradoras del Régimen Solidario de Prima Media con Prestación Definida","Administración del régimen","Entidades administradoras. El régimen solidario de prima media con prestación definida será administrado por el Instituto de Seguros Sociales.

Las cajas, fondos o entidades de seguridad social existentes, del sector público o privado, administrarán este régimen respecto de sus afiliados y mientras dichas entidades subsistan, sin perjuicio de que aquéllos se acojan a cualquiera de los regímenes pensionales previstos en esta Ley.

Las cajas, fondos o entidades de seguridad social existentes, del sector público o privado, estarán sometidos a la vigilancia y control de la Superintendencia Bancaria.","ISS, cajas, fondos, entidades del sector público y privado, vigilancia y control","El ISS administra el régimen solidario de prima media con prestación definida.

Cajas, fondos o entidades de seguridad social públicas o privadas pueden administrarlo respecto a sus afiliados mientras subsistan.

Todas estarán bajo la vigilancia y control de la Superintendencia Bancaria."
"LEY 100 DE 1993",53,"Administradoras del Régimen Solidario de Prima Media con Prestación Definida","Facultades de fiscalización e investigación","Fiscalización e Investigación. Las entidades administradoras del régimen solidario de prestación definida tienen amplias facultades de fiscalización e investigación sobre el empleador o agente retenedor de las cotizaciones al régimen para asegurar el efectivo cumplimiento de la presente Ley. Para el efecto podrán:

a) Verificar la exactitud de las cotizaciones y aportes u otros informes, cuando lo consideren necesario;

b) Adelantar las investigaciones que estimen convenientes para verificar la ocurrencia de hechos generadores de obligaciones no declarados;

c) Citar o requerir a los empleadores o agentes retenedores de las cotizaciones al régimen, o a terceros, para que rindan informes:

d) Exigir a los empleadores o agentes retenedores de las cotizaciones al régimen, o a terceros, la presentación de documentos o registros de operaciones, cuando unos u otros estén obligados a llevar libros registrados;

e) Ordenar la exhibición y examen de los libros, comprobantes y documentos del empleador o agente retenedor de las cotizaciones al régimen, y realizar las diligencias necesarias para la correcta y oportuna determinación de las obligaciones.

(Ver Sentencia Consejo de Estado 2017-01393 de 2020)","Cotizaciones, obligaciones del empleador, investigaciones, presentación de documentos, control de registros","Cotizaciones, obligaciones del empleador, investigaciones, presentación de documentos, control de registros"
"LEY 100 DE 1993",54,"Administradoras del Régimen Solidario de Prima Media con Prestación Definida","Cotizaciones, obligaciones del empleador, investigaciones, presentación de documentos, control de registros","Inversión y rentabilidad de las reservas de Invalidez, Vejez y Muerte (IVM) y Accidentes de Trabajo y Enfermedad Profesional (ATEP). La inversión de las reservas de IVM y ATEP del ISS y del Fondo de Pensiones Públicas del nivel nacional, se manejaran, mediante contrato de fiducia con las entidades del sector financiero especializado en este servicio o en títulos de la nación donde se busque obtener la rentabilidad mínima de que trata el artículo 101 de la presente Ley.

En caso de no garantizarse la rentabilidad señalada en el inciso anterior, las reservas de IVM y ATEP del Instituto Seguros Sociales y del Fondo de Pensiones Públicas del nivel nacional se colocarán en una cuenta de la Tesorería General de la Nación que les garantizará una rentabilidad que preserve su poder adquisitivo.

Dichas entidades podrán efectuar retiros de la cuenta de la Tesorería General de la Nación para celebrar nuevos contratos de fiducia o para invertir en títulos de deuda de la nación colocados en el mercado de capitales. Cuando dentro del plazo de un (1) año la rentabilidad de los títulos de deuda de la nación no mantenga el poder adquisitivo de las reservas, la nación efectuará la compensación necesaria para cumplir el mandato del artículo 48 de la Constitución Política, mediante apropiación y giro del Presupuesto General de la Nación.

PARÁGRAFO . Las reservas de las cajas, fondos o entidades de previsión social del sector público que conforme a lo dispuesto en la presente Ley, administren el régimen de prima media con prestación definida, deberán manejarse mediante encargo fiduciario o títulos de la nación, con arreglo a las normas que sobre inversión, rentabilidad y control determine el Gobierno Nacional.","Contratos de fiducia, títulos de la Nación, rentabilidad mínima, Tesorería General de la Nación, compensación por la Nación","Contratos de fiducia, títulos de la Nación, rentabilidad mínima, Tesorería General de la Nación, compensación por la Nación"
