Pregunta,Respuesta
¿Resolucion 3280 de 2018 qué lineamiantos emite para el sector salud?,La ley adoptan los lineamientos técnicos y operativos de la Ruta Integral de atención para la Promoción y Mantenimiento de la Salud y la Ruta Integral de Atención en Salud para la Población Materno Perinatal y se establecen las directrices para su operación
Cuál es la  Norma técnica para el sistema de  de gestáon de calidad en salud? ,Norma Internacional   ISO 9001 2015..
¿Cuáles son  las competencias específicas que comprende el programa Tecnólogo de Gestión Administrativa en el Sector Salud?,"Las competencias específicas son: 
1. Orientar personas en los servicios de salud.
2. Negociar productos o servicios de acuerdo con objetivos estratégicos.
3. Evaluar soportes de atención médica según manual técnico y normativa de salud.
4. Planear desarrollo del talento humano según requerimientos y modelos de gestión.
5. Monitorear sistemas de gestión de acuerdo con normativa y requerimientos técnicos.
6. Evaluar programas de salud según perfil epidemiológico y políticas públicas.
7. Controlar los inventarios según indicadores y métodos."
¿Cuál es el perfil del egresado del Tecnólogo de Gestión Administrativa en el Sector Salud?,"1. El egresado desarrollará actividades de supervisión de los procesos administrativos que se implementan en entidades del Sistema General de Seguridad Social en Salud- SGSSS. 
2. Desarrolla competencias relacionadas con del recurso humano,  garantizando  a los usuarios atención con calidad, oportunidad, pertinencia, humanización e integralidad.
"
¿Cuáles son los resultados de aprendizaje para la competencia Orientar personas en los servicios de salu?,"Los resultados son: 
1) Reconocer el marco normativo en la prestación de los servicios de salud según lineamientos vigentes
2)Resolver las necesidades de las personas según estándares de calidad, protocolos institucionales y normas en salud.
3)Medir niveles de satisfacción según necesidades y expectativas de las personas y normativa.
4)Establecer acciones de mejora teniendo en cuenta los niveles de satisfacción de las personas en los servicios de salud."
¿Cuáles son los resultados de aprendizaje para la competencia Negociar productos o servicios de acuerdo con objetivos estratégicos?,"Estos son los resultados:
1) Relacionar los elementos de la plataforma estratégica con la atención a las personas, de acuerdo con sus necesidades y políticas en salud.
2) Implementar estrategias de mercadeo de acuerdo con el direccionamiento estratégico, necesidades de las personas y requerimientos del sector.
3) Verificar el impacto de las estrategias de mercadeo a partir de los lineamientos institucionales y las necesidades de las personas.
4) Desarrollar estrategias de mejora que fortalezcan el empoderamientos de la plataforma estratégica según políticas institucionales."
¿Cuáles son los resultados de aprendizaje para la competencia Evaluar soportes de atención médica según manual técnico y normativa de salud?,"Evaluar soportes de atención médica aborda las siguientes competencias: 

1) Preparar cuentas médicas acorde manuales tarifarios y normativa vigente.
2) Gestionar el proceso de facturación y glosa cumpliendo con normatividad, contratación y generalidades de costos en salud.
3) Realizar procesos de auditoría de cuentas en liquidación de los servicios según normativa vigente y protocolos institucionales.
4) Elaborar informes de hallazgos de auditoría cumpliendo con protocolos establecidos y normativa vigente.

"
¿Cuáles son los resultados de aprendizaje para la competencia Planear el desarrollo del talento humano según requerimientos y modelos de gestión?,"Planear el desarrollo del talento humano según requerimientos y modelos de gestión tiene los siguientes resultados:

1) Determinar necesidades para el desarrollo del talento humano en salud a partir de normas vigentes, políticas de calidad y plan de desarrollo institucional.

2) Desarrollar acciones para el mantenimiento del talento humano según enfoque de gestión institucional y normativa vigente.

3) Implementar estándares de calidad en la gestión del talento humano según normas vigentes y políticas de calidad

4) Verificar información de la gestión del talento humano  partir del plan de desarrollo institucional, las normas vigentes y las políticas de calidad en salud.
"
¿Cuáles son los resultados de aprendizaje para la competencia Monitorear sistemas de gestión de acuerdo con normativa requerimientos técnicos,"Para Monitorear sistemas de gestión de acuerdo con normativa requerimientos técnicos, los resultados son: 

1) Preparar el plan de monitoreo según referentes normativos y políticas institucionales de salud.

2) Aplicar las herramientas para el seguimiento al sistema integrado de gestión según procedimiento técnico.

3) Verificar el cumplimiento de la gestión del sistema según procedimiento técnico.

4) Proponer acciones de mejora con base en la formación requerida en el sistema de gestión de la calidad teniendo en cuenta la normatividad.
"
¿Cuáles son los resultados de aprendizaje para la competencia Evaluar programas de salud según perfil epidemiológico y plíticas públicas.,"Estos son los resultados para competencia Evaluar programas de salud según perfil epidemiológico y políticas públicas.

1) Analizar la situación de salud de la población y su perfil epidemiológico de acuerdo con metodologías vigentes.
2) Diseñar actividades administrativas de planes y programas en salud según metodologías establecidas.
3) verificar el cumplimiento de las acciones de salud de acuerdo con programas establecidos y normativa vigente.
4) presentar informes administrativos de programas de salud utilizando la tecnología de acuerdo a normativa y metodologías establecidas."
¿Cuáles son los resultados de aprendizaje para la competencia Controlar los inventarios según indicadores y métodos.,"3.1.7.Controlar los inventarios según indicadores y métodos.:

1)Determinar mecanismos técnicos administrativos para la adquisición de recursos físicos en entidades de salud de acuerdo con requerimientos institucionales.

2)Manejar eficientemente recursos físicos para la prestación de servicios en salud según lineamientos de la empresa y políticas del sector.

3)Implementar acciones de vigilancia y control en la gestión de insumos, dispositivos y equipos médicos según protocolos y normas vigentes.

4)Realizar seguimiento a la gestión de los recursos físicos teniendo en cuenta los aplicativos específicos y principios de uso de TICS."
¿Cuáles son los criterios de evaluación de la competencia Orienta en los servicios de salud? ,"1. Describe los componentes del sistema general de seguridad social integral según normatividad
2. Establece las fuentes de financiamiento en salud según tipo de aseguramiento
3. Aplica los métodos proactivos (encuestas y entrevistas) y reactivos (quejas y reclamos) para la detección de necesidades del cliente según protocolo.
4. Presta servicios al usuario acorde con los principios, derechos y limitantes del sistema general de seguridad social en salud.
5. Analiza la satisfacción del cliente de acuerdo con la información obtenida por los diferentes métodos."
Cuáles son los criterios de evaluación de la competencia Negociar productos o servicios de acuerdo con objetivos estratégicos ? ,"1. Desarrolla estrategias que permitan a las personas interiorizar la plataforma estratégica de la organización según lineamientos
2. Desarrolla estrategias institucionales de mercadeo según necesidades de la institución, del cliente y aplicando tendencias actuales.
3. Participa en la implementación de técnicas de ventas, fortaleciendo sus habilidades en el área comercial según delegación.
4. Realiza propuestas de mejoramiento de la plataforma estratégica y del portafolio de servicios de acuerdo con lineamientos de la institución."
Cuáles son los criterios de evaluación de la competencia Evaluar soportes de atención medica según manual técnico y normativa de salud? ,"1. Reconoce el manual tarifario a aplicar según acuerdo de voluntades y tipo de servicios a prestar
2. Conoce los tipos de pago según principios contables.
3. Organiza cuentas médicas para gestionar el cobro cumpliendo con la normatividad y protocolos institucionales.
4. Participa en la gestión para resolver inconsistencias o glosas generadas según delegación
5. Elabora informes del proceso de auditoría de cuentas en salud según protocolo institucional.
6. Participa en los procesos administrativos para el cobro de los servicios de salud entre la entidad responsable del pago y la entidad que presta el servicio de salud según lineamiento.
7. Presenta informes a partir de la gestión del proceso de facturación en salud."
Cuáles son los criterios de evaluación de la competencia Monitorear sistemas de gestión de acuerdo con normativa y requerimientos técnicos? ,"1. Determina las acciones a realizar según los componentes del sistema obligatorio de garantía de calidad en salud
2. Argumenta la importancia del sistema integrado de gestión de calidad según procesos de la organización
3. Aporta en los planes de mejoramiento continuo de acuerdo con estándares de calidad definidos por la normatividad y organización.
4. Reporta al ente competente las inconformidades en la aplicación de las normas del sistema general de seguridad social en salud según lineamientos"
Cuáles son los criterios de evaluación de la competencia Planear el desarrollo del talento humano según requerimientos y modelos gestión? ,"1. Reconoce los estándares del talento humano en salud según normas vigentes y políticas de calidad.
2. Revisa perfil de cargos y las competencias del talento humano a partir de requerimientos y necesidades en los servicios
3. Define acciones de capacitación a partir de las competencias identificadas y el direccionamiento estratégico
4. Documenta los procesos de la gestión del talento humano a partir de plan de bienestar institucional e indicadores"
Cuáles son los criterios de evaluación de la competencia Evaluar programas de salud según perfil epidemiológico y política públicas ? ,"1. Realiza el análisis de la situación de salud de la población y su perfil epidemiológico de acuerdo con metodologías vigentes y delegación.
2. Realiza actividades administrativas de planeación y seguimiento de planes y programas en salud según lineamientos.
3. Participa en la construcción de indicadores teniendo en cuenta referentes técnicos.
4. Participa en la evaluación del cumplimiento de metas programadas frente a las alcanzadas
5. Genera la información requerida por el sistema de información de salud según lineamientos"
Cuáles son los criterios de evaluación de la competencia Controlar los inventarios según indicadores y métodos ? ,"1. Reconoce las etapas de la gestión de recursos en instituciones de salud según proceso de compras seleccionado.
2. Aplica el protocolo establecido para realizar el control de inventarios según lineamientos
3. Verifica de manera rigurosa los productos y suministros entregados por el proveedor teniendo en cuenta la orden de compra.
4. Coordina la realización del inventario en el área de recursos físicos según protocolo establecido
5. Verifica los insumos y bienes para generar los informes pertinentes según asignación"
¿Cómo esta integrado elSistema General de Seguridad Social en Salud en Colombia?,"Integrado por El Estado a través del Ministerio de Salud y Protección como organismo de coordinación, dirección y control, las EPS, responsables de la afiliación y el recaudo de las cotizaciones y de garantizar la prestación del Plan de beneficios en Salud a los afiliados y las IPS, que son los hospitales, clínicas y laboratorios, encargadas de prestar la atención a los usuarios, finalmente las Entidades Territoriales y la Superintendencia Nacional de Salud, como entes de control y vigilancia."
¿Cuál es el objetivo del Sistema General de Seguridad Social en Salud?,"Regular el servicio público esencial de salud y crear condiciones de acceso para toda la población residente del país. Brindando servicios de mayor calidad, incluyente y equitativo a través de un modelo de prestación del servicio público, que en el marco de la estrategia Atención Primaria en Salud permita la acción coordinada del Estado, las instituciones y la sociedad para el mejoramiento de la salud y la creación de un ambiente sano y saludable. "
¿Cómo se accede al Sistema General de Seguridad Social en Salud?,"Se acceden a través de la afiliación a una EPS del Régimen Contributivo o del Régimen Subsidiado, dependiendo de su capacidad económica. "
¿Qué documentos se requieren para la afiliacion de extranjeros al Sistema General de Seguridad Social en Salud?,"Además de diligenciar el Formulario Único de Afiliación y Registro de Novedades, de acuerdo con las instrucciones contenidas en la Resolución 0974 de 2016, los extranjeros que cumplan las condiciones para afiliarse al Sistema de Salud deben adjuntar copia de su documento de identidad como la cédula de extranjería, pasaporte (para menores de 7 años), carné diplomático o salvoconducto de permanencia, según corresponda, y permiso especial de permanencia para los migrantes regulares venezolanos."
 ¿Cómo se lleva a acabo la afiliacion del menor de edad al Sistema General de Seguridad Social en Salud cuando la madre no esta afiliada a una EPS?,"Para la afiliación de recién nacido o menor de edad de padres no afiliados, se aplican las reglas del artículo 1 del Decreto 064 de 2020, que modifica el artículo 2.1.3.11 del Decreto 780 de 2016, así: 

  1) Si alguno de los padres tiene condiciones para pertenecer al Régimen Contributivo, la IPS registrara e inscribirá en una EPS de dicho régimen que opere en el municipio de domicilio del padre obligado a cotizar y al recién nacido. Para realizar esta afiliación, el prestador deberá consultar la información que para tal efecto disponga el Sistema de Afiliación Transaccional.
   
2) Si los padres no cumplen condiciones de pertenecer al Régimen Contributivo y se encuentran clasificados en niveles A y B de la encuesta SISBÉN; o pertenezcan a alguna población especial, la IPS registra e inscribe a la madre, al recién nacido y a los demás integrantes del núcleo familiar, al Régimen Subsidiado, en la EPS de conformidad con lo señalado en el artículo 2.1.5.4 del Decreto 780 de 2016.

3) Si los padres no cumplen las condiciones para estar afiliados al régimen contributivo y no se han aplicado la encuesta SISBEN, la IPS registrará al recién nacido y a los padres en el Sistema de Afiliación Transaccional y los inscribirá en una EPS del régimen subsidiado que opere en el municipio de domicilio de los padres, quienes deberán solicitar, dentro de los cinco (5) días hábiles siguientes a la inscripción en la EPS, la aplicación de la encuesta SISBEN. Los padres deberán declarar por escrito ante la IPS que la encuesta Sisbén no les ha sido aplicada."
¿En qué consiste la afiliacion de oficio?,"Es un instrumento que se crea a partir de lo establecido en el artículo 4 del Decreto 064 de 2020, el cual busca la afiliación de aquella población que se encuentre sin aseguramiento en salud en el Sistema de Seguridad Social en Salud o con la novedad de terminación de la inscripción en una EPS y que no le ha haya sido aplicada la encuesta SISBEN, dicha afiliación la puede realizar directamente la IPS, si el paciente ingresa por urgencias para la atención en salud o la Entidad Territorial si es focalizada por esta entidad."
¿Cómo se realiza la afiliación al régimen contributivo?,"Con la inscripción a una sola EPS o Entidad Obligada, mediante la suscripción del formulario único de afiliación, adoptado por el Ministerio de Salud y Protección Social (ver Resolución 974 de 2016) y registro de novedades al Sistema de Seguridad Social en Salud.

"
 ¿A cuáles miembros de la familia se puede afiliar en calidad de beneficiarios del regimen contributivo?,"Se puede afiliar a quienes componen el grupo familiar; es decir a las siguientes personas (Ver art. 21 del Decreto 2353 de 2015, compilado por el Decreto 780 de 2016): 
1. Cónyuge o compañero o compañera permanente del afiliado, así sea del mismo sexo, según la sentencia C- 811 de 2007.
2. Los hijos del afiliado o los del compañero o compañera permanente hasta que cumplan 25 años, siempre y cuando dependan económicamente de este.
3. Los hijos del afiliado o los del compañero o compañera permanente, de cualquier edad, que tengan incapacidad permanente y dependan económicamente de este.
4. Los nietos del afiliado mientras la madre o el padre tengan la condición de beneficiarios.
5. Los menores de 18 años entregados en custodia legal por la autoridad correspondiente.
6. Los hijos menores de 25 años y los de cualquier edad con incapacidad permanente que, debido al fallecimiento o ausencia de sus padres o la pérdida de la patria potestad por parte de éstos, dependan económicamente del cotizante y se encuentren hasta el tercer grado de consanguinidad con este.
7. A falta de cónyuge, compañero o compañera permanente y de hijos, la cobertura familiar puede extenderse a los padres del afiliado, siempre y cuando no sean pensionados y dependan económicamente de este."
¿Qué pagos deben realizar las personas afiliadas al régimen contributivo?,"Deben realizar pagos correspondientes a:
1. Aportes obligatorios al Sistema General de Seguridad Social (Salud, Pensión y Riesgos Laborales).
2. Cuotas moderadoras.
 3. Copagos."
15. ¿Cuál es el porcentaje de cotizacion al Sistema General de Seguridad Social en Salud en materia de salud y pension?,"La cotización al Régimen Contributivo en salud del empleado dependiente es del 12.5% del salario mensual, de los cuales, el 8.5% está a cargo del empleador y el 4% a cargo del empleado. 
En materia pensional es del 16% del salario mensual, de los cuales, el 12% está a cargo del empleador y el 4% a cargo del empleado.

El trabajador independiente debe pagar mensualmente la totalidad de la cotización, la cual corresponde al 12.5% del ingreso base de cotización para el Sistema General de Seguridad Social en Salud y al 16% en materia pensional. 

Los independientes vinculados por contrato de prestación de servicios deben cotizar tanto a salud como a pensión sobre el 40% del valor mensual bruto del contrato, sin que el salario base de cotización sea inferior al salario mínimo legal mensual vigente.

En el caso de los aprendices en etapa lectiva y productiva, la cotización será cubierta plenamente por la empresa patrocinadora, sobre la base de un salario mínimo legal mensual vigente. "
16. ¿Qué son las cuotas moderadoras y quienes deben pagarlas?,"Es un aporte en dinero que debe ser pagado por todos los afiliados (cotizantes y beneficiarios) cuando se asiste al médico general, al especialista, al odontólogo o un especialista, cuando se reciben medicamentos o se realizan apoyos diagnósticos."
17. ¿Qué son los copagos y quienes deben pagarlos?,"Son los aportes en dinero que deben realizar únicamente los beneficiarios, de acuerdo con el Ingreso Base de Cotización del afiliado cotizante, los cuales corresponden a una parte del valor del servicio prestado y tienen como finalidad ayudar a financiar el Sistema."
¿En qué casos deben pagarse copagos?,"Los copagos se aplicarán a algunos servicios de salud contenidos en e Plan de Beneficios como hospitalización, procedimientos o tratamientos quirúrgicos, con excepción de: 
1. Servicios de promoción de la salud y prevención de la enfermedad.
 2. Programas de control en atención materno infantil.
 3. Programas de control en atención de las enfermedades transmisibles.
 4. Enfermedades catastróficas o de alto costo.
 5. Atención inicial de urgencias.
 6. Servicios sujetos a cuotas moderadoras"
¿Cuáles son los beneficios por estar afiliado el regimen contributivo?," El cotizante y su familia tienen derecho a: 
1. Recibir todos los servicios del Plan de Beneficios, que incluye acciones de promoción de la salud, prevención de la enfermedad y de recuperación de la salud desde la medicina preventiva básica hasta tratamientos de alta complejidad.
2. Subsidio en dinero en caso de incapacidad.
3. Por razón de enfermedad o por causa de un accidente no relacionado con su trabajo, el afiliado tiene una incapacidad temporal, su afiliación le da derecho a recibir, durante ese tiempo, un subsidio en dinero así: de 1 a 3 días de incapacidad el pago es a cargo de los respectivos empleadores y corresponde al 100% del salario; a partir del 4º. día y hasta el día 90 el pago debe hacerlo la EPS y corresponde a las dos terceras partes del salario, y desde el día 91 hasta el 180 la mitad del salario.
4. Recibir un subsidio en dinero en caso de licencia de maternidad: Las afiliadas cotizantes, tanto trabajadoras dependientes como independientes, tienen derecho a una licencia de maternidad y a recibir un subsidio en dinero equivalente al 100% de su salario, que la EPS le paga durante el tiempo de la licencia.
5. Afiliar a su familia sin costo adicional."
¿En qué consiste la afiliacion colectiva al Sistema General de Seguridad Social en Salud?,"Es un mecanismo de carácter voluntario a través del cual los trabajadores independientes se afilian y efectúan los aportes a la Seguridad Social Integral a través de un intermediario, quien realiza una gestión grupal ante las administradoras (EPS, AFP, ARL, CCF), entre ellas la del trámite de afiliación de sus asociados, recaudo de aportes, reporte de novedades, pago de prestaciones económicas.
Este mecanismo se encuentra regulado por los artículos 15, 157 y 204 de la Ley 100 de 1993 y desarrollado por los Decretos 3615 de 2005, 2313 de 2006, 2172 de 2009 y 692 de 2010, estos últimos se encuentran compilados en el Decreto 780 de 2016. El mecanismo es voluntario por cuanto los trabajadores independientes también pueden afiliarse individualmente a la seguridad social integral sin usar un intermediario. "
,
,
"¿De acuerdo a la legislacion vigente, desde que momento tiene derecho a ser atendido un usuario que se afilia al regimen subsidiado?","De acuerdo con el Decreto 780 de 2016, artículo 2.1.3.4, el afiliado tiene derecho a todos los servicios de salud del plan de beneficios desde la fecha de su afiliación,  desde la fecha de radicación del formulario de afiliación y novedades en la EPS."
,
,
¿Cómo afiliarse al régimen subsidiado? ,"Debe tener aplicada la encuesta Sistema de Selección de Beneficiarios SISBÉN que  establece el nivel al que se encuentra la persona o personas y es la puerta de entrada a los programas sociales que ofrece el Estado para las personas con más necesidades. Dentro de esos programas esta la salud a través del Régimen Subsidiado de Salud, que le permite contar con los servicios ofrecidos en el Plan de beneficios en salud."
,
,
¿Quiénes deben afiliarse al regimen subsidiado?,"Deben estar afiliadas las personas pobres y vulnerables del país y las poblaciones especiales prioritarias, tales como personas en condición de desplazamiento, población infantil abandonada a cargo del Instituto Colombiano de Bienestar Familiar, menores desvinculados del conflicto armado, comunidades indígenas; personas mayores en centros de protección, población rural migratoria, personas del programa de protección a testigos, indigentes y población gitana (conocida como ROM), entre otros. "
¿Cómo se afilian las poblaciones especiales prioritarias?,"Estas no requieren la encuesta Sisbén. En este caso el listado de beneficiarios es suministrado por autoridades o entidades específicas tales como los gobernadores de los cabildos indígenas, el Departamento de la Prosperidad Social, el Ministerio del Interior, el Instituto Colombiano de Bienestar Familiar, entre otras. 
Estas poblaciones no requieren de la priorización a través del puntaje exigido en la encuesta Sisbén, salvo la población Rom, en la cual las autoridades legítimas pueden solicitar la aplicación de la encuesta Sisbén a alguno de sus miembros. "
¿En el régimen subsidiado hay lugar al pago de inacapacidades o licencias?,"No hay lugar al pago. 
En el Régimen Subsidiado en Salud no se pagan incapacidades por enfermedad general, ni por maternidad, ni paternidad, pues éstas solo se reconocen a los afiliados cotizantes del Régimen Contributivo. 
Tampoco se pagan licencias por accidentes o enfermedades laborales ya que únicamente tienen derecho a éstas los trabajadores afiliados al Régimen Contributivo y al Sistema de Riesgos Laborales, a través de las ARL."
¿Cuáles son los derechos de los usuarios en el Régimen Subsidiado en Salud?,"1. Recibir los servicios de salud de atención básica en la localidad donde vive.
2. Recibir todos los medicamentos inmediatamente después de que finalice la consulta.
3. Recibir atención de urgencia de manera inmediata. 
4. Asignación de citas de medicina general y odontología dentro de los dos días siguientes a que las solicite.
5. Recibir toda la atención no incluida en el Plan Obligatorio de Salud Subsidiado (POS-S), en las Empresas Sociales del Estado, sin que tenga que solicitar autorización escrita.
6. Recibir educación para el cuidado de su salud y la de su familia.
7. Recibir atención oportuna y así evitar complicaciones o consecuencias graves.
8. Presentar sugerencias verbales o escritas, en las asociaciones de usuarios para lograr que los servicios contenidos en el POS-S se presten con calidad.
9. Participar en la Asociación de Usuarios que tenga la EPS-S."
¿Cuál es el valor de los copagos para 2024 en régimen subsidiado?,"1. En el Régimen Subsidiado no pagan copagos las personas de los grupos A y B del Sisbén metodología IV.
2. Las personas del grupo C del Sisbén metodología IV deben pagar máximo el 10% del valor del servicio, y en todo caso máximo $588.847,85 por la atención de un mismo evento o servicio (como una cirugía o una hospitalización).
3. Si durante el año es atendido por distintos eventos o servicios, la suma de todos los copagos que cancele debe ser máximo de 1.177.695,69.."
¿Qué es el Sisben?,"Es le Sistema de Identificación de Potenciales Beneficiarios de Programas Sociales, se adelanta a través de una encuesta que permite clasificar a la población de acuerdo con sus condiciones socioeconómicas. "
¿Cómo queda la clasificacion por grupos del SISBEN IV?,"A: comprende a hogares en situación de pobreza extrema. En este grupo los hogares estarán clasificados en 5 subgrupos, desde A1 hasta
A5.                                                                                                                                                                                                                  

B: corresponde a hogares en condición de pobreza moderada. Este grupo tendrá 7
subgrupos desde el B1 hasta el B7.                                                                                                                                                        

C: corresponde a hogares en condición de vulnerabilidad. Este grupo tendrá 18 subgrupos desde el C1 hasta el C18.                                                                                                                                                                           

D: comprende hogares que no están en situación de pobreza. Este grupo tendrá 21 subgrupos desde el D1 hasta el D21."
¿Qué esla Contribución Solidaria en el Régimen Subsidiado?,"Es un mecanismo de afiliación al Régimen Subsidiado en salud que propende por la continuidad y la universalización del aseguramiento, especialmente para la población no pobre y no vulnerable correspondiente al Grupo D según la clasificación del Sisbén IV y que no cumple los requisitos para ser cotizante o beneficiario en el Régimen Contributivo,  con el fin de  alcanzar la cobertura universal del aseguramiento de aquella población que no cumplía condiciones para estar en contributivo y subsidiado."
¿Quién puede afiliarse mediante contribución solidaria? ,"Si el usuario hace parte de la población clasificada como población no pobre y no vulnerable (Grupo D) en el Sisbén IV, podrá afiliarse al régimen subsidiado en salud mediante el mecanismo de contribución solidaria, pagando la tarifa respectiva establecida por el Ministerio de Salud y Protección Social, siempre y cuando no cumpla con las condiciones para cotizar o ser beneficiario del régimen contributivo. "
¿Cómo se efectúa la afiliación y la del núcleo familiar al Régimen Subsidiado a través del mecanismo de Contribución Solidaria?,se adelanta la afiliación a través de la EPS del régimen subsidiado de su elección o en la Secretaría de Salud de la entidad territorial donde resida.
¿Qué es la historia clínica?,"Documento privado, de obligatorio cumplimiento y destinado a reserva, por medio del cual se registra de modo cronológico las condiciones, actos médicos y procedimientos realizados mediante el equipo médico el cual interviene a cada paciente. "
